-------------------------------------------------------------
Repartition Join Output
('5589', ('Music', ('28373', '3.5', '1111461737')))
('5589', ('Music', ('171496', '3.5', '1090353428')))
('5589', ('Music', ('172005', '3.0', '1149258551')))
('5589', ('Music', ('172224', '4.0', '1033086952')))
('5589', ('Music', ('172359', '2.5', '1240190900')))
('5589', ('Music', ('172480', '4.0', '1031099994')))
('5589', ('Music', ('172644', '4.0', '1033349003')))
('5589', ('Music', ('172878', '0.5', '1111719110')))
('5589', ('Music', ('173768', '3.0', '1124929509')))
('5589', ('Music', ('173796', '3.0', '1045859572')))
('5589', ('Music', ('174159', '3.0', '1061024813')))
('5589', ('Music', ('174418', '3.0', '1034977621')))
('5589', ('Music', ('175202', '3.5', '1313836528')))
('5589', ('Music', ('176190', '2.0', '1051229274')))
('5589', ('Music', ('176443', '3.5', '1346643955')))
('5589', ('Music', ('179137', '4.0', '1034001757')))
('5589', ('Music', ('205647', '3.0', '1050898606')))
('5589', ('Music', ('206345', '1.5', '1275964883')))
('5589', ('Music', ('206426', '3.0', '1032885684')))
('5589', ('Music', ('206606', '3.5', '1251859767')))
('5589', ('Music', ('208692', '4.0', '1073873081')))
('5589', ('Music', ('208731', '3.5', '1456765861')))
('5589', ('Music', ('209987', '4.0', '1043021334')))
('5589', ('Music', ('210476', '3.5', '1369196382')))
('5589', ('Music', ('210915', '3.0', '1356340714')))
('5589', ('Music', ('211020', '4.0', '1042306039')))
('5589', ('Music', ('212608', '5.0', '1033272496')))
('5589', ('Music', ('212863', '3.0', '1032046757')))
('5589', ('Music', ('213059', '3.0', '1033159184')))
('5589', ('Music', ('213159', '4.0', '1054826809')))
('5589', ('Music', ('213286', '2.5', '1140925515')))
('5589', ('Music', ('214649', '3.0', '1032917986')))
('5589', ('Music', ('216949', '2.0', '1034272558')))
('5589', ('Music', ('217037', '3.0', '1034539670')))
('5589', ('Music', ('218080', '3.0', '1042052847')))
('5589', ('Music', ('218122', '3.0', '1043194560')))
('5589', ('Music', ('218706', '3.0', '1070337976')))
('5589', ('Music', ('219080', '2.0', '1075037497')))
('5589', ('Music', ('221511', '1.5', '1056231404')))
('5589', ('Music', ('222014', '2.5', '1060262699')))
('5589', ('Music', ('222609', '5.0', '1031456567')))
('5589', ('Music', ('222672', '2.0', '1039059231')))
('5589', ('Music', ('223692', '3.5', '1217064138')))
('5589', ('Music', ('223729', '3.0', '1039404789')))
('5589', ('Music', ('224019', '4.0', '1056937646')))
('5589', ('Music', ('224707', '4.0', '1031533922')))
('5589', ('Music', ('225172', '1.5', '1078795638')))
('5589', ('Music', ('225874', '3.5', '1149449867')))
('5589', ('Music', ('226112', '4.0', '1157551031')))
('5589', ('Music', ('226446', '3.0', '1043427844')))
('5589', ('Music', ('228689', '4.0', '1031870536')))
('5589', ('Music', ('229879', '3.0', '1031673283')))
('5589', ('Music', ('257993', '1.5', '1486251031')))
('5589', ('Music', ('258181', '3.5', '1112718917')))
('5589', ('Music', ('261690', '4.0', '1077758362')))
('5589', ('Music', ('262079', '4.0', '1032134286')))
('5589', ('Music', ('262770', '2.0', '1061015522')))
('5589', ('Music', ('263809', '3.5', '1461371365')))
('5589', ('Music', ('263907', '3.0', '1036226502')))
('5589', ('Music', ('263911', '3.0', '1112728581')))
('5589', ('Music', ('264862', '3.5', '1056915944')))
('5589', ('Music', ('264959', '3.5', '1165104262')))
('5589', ('Music', ('266061', '2.0', '1043785020')))
('5589', ('Music', ('266783', '2.5', '1065473809')))
('5589', ('Music', ('267772', '3.0', '1038335631')))
('5589', ('Music', ('268239', '4.0', '1488995560')))
('5589', ('Music', ('268791', '2.5', '1137372428')))
('5589', ('Music', ('269333', '4.5', '1361857379')))
('5589', ('Music', ('270123', '2.0', '1436135322')))
('5589', ('Music', ('270213', '3.5', '1070442996')))
('5589', ('Music', ('131384', '3.5', '1106353127')))
('5589', ('Music', ('131714', '3.0', '1106683332')))
('5589', ('Music', ('132429', '3.5', '1058155276')))
('5589', ('Music', ('134151', '2.0', '1036881411')))
('5589', ('Music', ('134931', '3.0', '1053118628')))
('5589', ('Music', ('137932', '3.0', '1039930666')))
('5589', ('Music', ('138831', '4.0', '1107294228')))
('5589', ('Music', ('139096', '3.5', '1120632178')))
('5589', ('Music', ('139760', '3.0', '1058043508')))
('5589', ('Music', ('139925', '4.0', '1034518343')))
('5589', ('Music', ('140318', '4.0', '1037627431')))
('5589', ('Music', ('140345', '4.0', '1036098459')))
('5589', ('Music', ('141589', '2.0', '1310594803')))
('5589', ('Music', ('142026', '3.5', '1118416338')))
('5589', ('Music', ('142343', '3.0', '1044681941')))
('5589', ('Music', ('143679', '2.5', '1067825966')))
('5589', ('Music', ('143898', '4.0', '1059427298')))
('5589', ('Music', ('144248', '4.0', '1067406639')))
('5589', ('Music', ('146270', '2.0', '1037816454')))
('5589', ('Music', ('146355', '3.0', '1086593028')))
('5589', ('Music', ('146441', '1.0', '1042530255')))
('5589', ('Music', ('147579', '4.0', '1032787990')))
('5589', ('Music', ('148108', '3.5', '1312582361')))
('5589', ('Music', ('148427', '2.0', '1043969142')))
('5589', ('Music', ('150168', '4.0', '1036888021')))
('5589', ('Music', ('150751', '2.5', '1135201652')))
('5589', ('Music', ('151252', '2.0', '1051850514')))
('5589', ('Music', ('152041', '3.0', '1097250713')))
('5589', ('Music', ('180292', '1.5', '1167169928')))
('5589', ('Music', ('180619', '3.0', '1262359447')))
('5589', ('Music', ('181107', '3.5', '1139721870')))
('5589', ('Music', ('182319', '3.0', '1037293976')))
('5589', ('Music', ('182697', '4.5', '1083556764')))
('5589', ('Music', ('182889', '3.5', '1281999794')))
('5589', ('Music', ('183100', '1.0', '1043783140')))
('5589', ('Music', ('183219', '3.5', '1432729591')))
('5589', ('Music', ('184648', '1.0', '1031795587')))
('5589', ('Music', ('186059', '3.0', '1033227769')))
('5589', ('Music', ('187100', '3.0', '1032576498')))
('5589', ('Music', ('192348', '3.0', '1031285417')))
('5589', ('Music', ('194008', '4.0', '1330711360')))
('5589', ('Music', ('194608', '2.5', '1193156857')))
('5589', ('Music', ('194690', '2.5', '1136873001')))
('5589', ('Music', ('194974', '2.0', '1032360580')))
('5589', ('Music', ('195643', '3.0', '1034343805')))
('5589', ('Music', ('195820', '2.0', '1037043318')))
('5589', ('Music', ('195848', '3.0', '1044991186')))
('5589', ('Music', ('196186', '3.5', '1108444922')))
('5589', ('Music', ('196196', '3.5', '1497627338')))
('5589', ('Music', ('196198', '3.0', '1181142639')))
('5589', ('Music', ('197477', '3.0', '1031529415')))
('5589', ('Music', ('198229', '3.0', '1043997801')))
('5589', ('Music', ('199528', '5.0', '1472839802')))
('5589', ('Music', ('199754', '3.5', '1059091833')))
('5589', ('Music', ('200303', '3.0', '1256232422')))
('5589', ('Music', ('201111', '3.0', '1112430836')))
('5589', ('Music', ('201345', '4.0', '1039369561')))
('5589', ('Music', ('201940', '4.0', '1031507836')))
('5589', ('Music', ('201948', '3.0', '1035066863')))
('5589', ('Music', ('202179', '4.0', '1031927858')))
('5589', ('Music', ('202809', '3.0', '1034280004')))
('5589', ('Music', ('203084', '3.5', '1094379035')))
('5589', ('Music', ('204544', '4.0', '1059576537')))
('5589', ('Music', ('230894', '1.0', '1042930227')))
('5589', ('Music', ('233298', '3.5', '1059255510')))
('5589', ('Music', ('235398', '3.0', '1421520943')))
('5589', ('Music', ('236131', '2.0', '1093270975')))
('5589', ('Music', ('236944', '3.5', '1065328828')))
('5589', ('Music', ('237362', '2.0', '1039916098')))
('5589', ('Music', ('237489', '3.0', '1043310893')))
('5589', ('Music', ('239952', '3.0', '1261893951')))
('5589', ('Music', ('241017', '3.0', '1036898518')))
('5589', ('Music', ('241531', '3.0', '1166580765')))
('5589', ('Music', ('243443', '3.0', '1093280279')))
('5589', ('Music', ('244372', '3.0', '1034880290')))
('5589', ('Music', ('245739', '1.5', '1118025165')))
('5589', ('Music', ('245973', '3.5', '1053918681')))
('5589', ('Music', ('246944', '2.0', '1040751151')))
('5589', ('Music', ('247182', '4.0', '1163700158')))
('5589', ('Music', ('252867', '4.5', '1161935216')))
('5589', ('Music', ('253650', '3.5', '1205779207')))
('5589', ('Music', ('254528', '2.5', '1072078797')))
('5589', ('Music', ('255249', '5.0', '1037804526')))
('5589', ('Music', ('255933', '2.5', '1249362534')))
('5589', ('Music', ('46', '3.0', '1056350877')))
('5589', ('Music', ('1817', '3.5', '1117651528')))
('5589', ('Music', ('2995', '4.0', '1033124252')))
('5589', ('Music', ('3437', '2.5', '1169595362')))
('5589', ('Music', ('3891', '3.0', '1142597090')))
('5589', ('Music', ('4294', '4.0', '1328065156')))
('5589', ('Music', ('4323', '0.5', '1081780954')))
('5589', ('Music', ('6357', '3.5', '1111813692')))
('5589', ('Music', ('7862', '2.0', '1034742975')))
('5589', ('Music', ('8659', '3.0', '1031087948')))
('5589', ('Music', ('8667', '3.5', '1053273469')))
('5589', ('Music', ('9368', '5.0', '1172977766')))
('5589', ('Music', ('9788', '2.0', '1046887239')))
('5589', ('Music', ('10223', '3.0', '1031102160')))
('5589', ('Music', ('10542', '3.0', '1044051873')))
('5589', ('Music', ('10690', '5.0', '1037753675')))
('5589', ('Music', ('11704', '4.0', '1048646415')))
('5589', ('Music', ('11852', '2.5', '1089639643')))
('5589', ('Music', ('12962', '3.0', '1032153033')))
('5589', ('Music', ('13222', '2.0', '1111637881')))
('5589', ('Music', ('13839', '3.0', '1182653365')))
('5589', ('Music', ('14308', '3.0', '1062874824')))
('5589', ('Music', ('15038', '1.0', '1041617221')))
('5589', ('Music', ('16865', '3.0', '1031676372')))
('5589', ('Music', ('17211', '4.0', '1046127912')))
('5589', ('Music', ('18056', '4.0', '1032051666')))
('5589', ('Music', ('18274', '4.0', '1032876867')))
('5589', ('Music', ('19638', '2.0', '1177930313')))
('5589', ('Music', ('19690', '4.0', '1045891233')))
('5589', ('Music', ('20853', '3.0', '1035823601')))
('5589', ('Music', ('23405', '3.0', '1036899400')))
('5589', ('Music', ('25010', '4.0', '1055687732')))
('5589', ('Music', ('25066', '3.5', '1182218115')))
('5589', ('Music', ('25117', '4.0', '1050783461')))
('5589', ('Music', ('78447', '3.5', '1442194820')))
('5589', ('Music', ('78809', '3.0', '1168330647')))
('5589', ('Music', ('78856', '5.0', '1031258251')))
('5589', ('Music', ('78971', '3.0', '1122772670')))
('5589', ('Music', ('79042', '2.5', '1467029811')))
('5589', ('Music', ('79823', '3.0', '1087682555')))
('5589', ('Music', ('79915', '3.0', '1039183408')))
('5589', ('Music', ('80372', '3.5', '1313423618')))
('5589', ('Music', ('80741', '4.0', '1232677744')))
('5589', ('Music', ('84047', '1.0', '1070556035')))
('5589', ('Music', ('84439', '1.0', '1083853001')))
('5589', ('Music', ('84594', '2.0', '1039368203')))
('5589', ('Music', ('86633', '3.0', '1050882014')))
('5589', ('Music', ('86934', '3.0', '1093201689')))
('5589', ('Music', ('87176', '3.0', '1033805302')))
('5589', ('Music', ('88424', '3.5', '1108285647')))
('5589', ('Music', ('89020', '3.5', '1277756114')))
('5589', ('Music', ('89258', '3.0', '1032355396')))
('5589', ('Music', ('90400', '3.5', '1055957296')))
('5589', ('Music', ('91159', '3.5', '1107287788')))
('5589', ('Music', ('92519', '3.0', '1349411924')))
('5589', ('Music', ('93266', '3.0', '1046142369')))
('5589', ('Music', ('93717', '3.0', '1041365732')))
('5589', ('Music', ('96068', '3.5', '1077817472')))
('5589', ('Music', ('96714', '3.0', '1069189227')))
('5589', ('Music', ('97293', '2.5', '1063981269')))
('5589', ('Music', ('97708', '4.0', '1032284394')))
('5589', ('Music', ('98109', '4.0', '1034312847')))
('5589', ('Music', ('98759', '3.0', '1059705350')))
('5589', ('Music', ('98900', '2.5', '1068271604')))
('5589', ('Music', ('99063', '3.0', '1057292774')))
('5589', ('Music', ('99279', '3.0', '1036601663')))
('5589', ('Music', ('100021', '2.5', '1123013793')))
('5589', ('Music', ('100111', '1.0', '1039537490')))
('5589', ('Music', ('103767', '3.0', '1058122174')))
('5589', ('Comedy', ('28373', '3.5', '1111461737')))
('5589', ('Comedy', ('29231', '4.0', '1047747676')))
('5589', ('Comedy', ('30289', '3.0', '1032634723')))
('5589', ('Comedy', ('31227', '5.0', '1036350411')))
('5589', ('Comedy', ('32711', '3.0', '1035063726')))
('5589', ('Comedy', ('33089', '3.5', '1067197200')))
('5589', ('Comedy', ('34000', '4.0', '1072785279')))
('5589', ('Comedy', ('35578', '4.5', '1306160594')))
('5589', ('Comedy', ('36047', '2.0', '1049913598')))
('5589', ('Comedy', ('36181', '3.5', '1226176551')))
('5589', ('Comedy', ('36584', '1.5', '1149163152')))
('5589', ('Comedy', ('36677', '3.0', '1056523987')))
('5589', ('Comedy', ('38096', '2.0', '1101319465')))
('5589', ('Comedy', ('38525', '4.0', '1049771455')))
('5589', ('Comedy', ('40275', '1.0', '1034037579')))
('5589', ('Comedy', ('40465', '4.0', '1038803659')))
('5589', ('Comedy', ('41017', '3.5', '1072544508')))
('5589', ('Comedy', ('41422', '2.0', '1039371494')))
('5589', ('Comedy', ('42623', '3.5', '1054804218')))
('5589', ('Comedy', ('43191', '2.0', '1035249783')))
('5589', ('Comedy', ('43264', '3.5', '1075821153')))
('5589', ('Comedy', ('43380', '1.5', '1169918033')))
('5589', ('Comedy', ('43641', '2.0', '1035603291')))
('5589', ('Comedy', ('45266', '3.5', '1093848640')))
('5589', ('Comedy', ('45478', '3.0', '1059865798')))
('5589', ('Comedy', ('45484', '4.0', '1041816326')))
('5589', ('Comedy', ('46156', '4.0', '1031788765')))
('5589', ('Comedy', ('46657', '3.5', '1063784483')))
('5589', ('Comedy', ('47455', '4.0', '1032239791')))
('5589', ('Comedy', ('47471', '3.0', '1042256496')))
('5589', ('Comedy', ('48680', '5.0', '1086447485')))
('5589', ('Comedy', ('49538', '3.5', '1085543196')))
('5589', ('Comedy', ('49569', '1.0', '1033006420')))
('5589', ('Comedy', ('50783', '3.0', '1424552939')))
('5589', ('Comedy', ('50971', '2.0', '1159238167')))
('5589', ('Comedy', ('52445', '3.0', '1069884918')))
('5589', ('Comedy', ('53770', '1.5', '1262395885')))
('5589', ('Comedy', ('53846', '4.0', '1106853522')))
('5589', ('Comedy', ('55353', '2.0', '1267786711')))
('5589', ('Comedy', ('55501', '2.0', '1047094490')))
('5589', ('Comedy', ('55739', '5.0', '1036042788')))
('5589', ('Comedy', ('55859', '3.0', '1031093506')))
('5589', ('Comedy', ('56400', '3.0', '1059535768')))
('5589', ('Comedy', ('56649', '4.0', '1033145803')))
('5589', ('Comedy', ('56967', '4.0', '1195530474')))
('5589', ('Comedy', ('59666', '4.0', '1049051159')))
('5589', ('Comedy', ('61161', '3.5', '1457351749')))
('5589', ('Comedy', ('62021', '3.0', '1067055412')))
('5589', ('Comedy', ('63284', '3.0', '1032717949')))
('5589', ('Comedy', ('63602', '2.0', '1036187366')))
('5589', ('Comedy', ('63610', '4.0', '1100968819')))
('5589', ('Comedy', ('64136', '3.5', '1074631658')))
('5589', ('Comedy', ('64221', '4.0', '1049745352')))
('5589', ('Comedy', ('67571', '4.0', '1031794410')))
('5589', ('Comedy', ('67939', '4.0', '1041131841')))
('5589', ('Comedy', ('69138', '4.0', '1032018360')))
('5589', ('Comedy', ('69407', '4.0', '1059873792')))
('5589', ('Comedy', ('69517', '4.0', '1031155567')))
('5589', ('Comedy', ('70648', '3.0', '1283818606')))
('5589', ('Comedy', ('71431', '4.0', '1033680048')))
('5589', ('Comedy', ('72229', '4.0', '1031084744')))
('5589', ('Comedy', ('74275', '3.0', '1362927705')))
('5589', ('Comedy', ('74302', '3.5', '1076900883')))
('5589', ('Comedy', ('74466', '3.5', '1138217940')))
('5589', ('Comedy', ('77525', '3.5', '1098635023')))
('5589', ('Comedy', ('104344', '4.0', '1111696152')))
('5589', ('Comedy', ('104441', '3.0', '1039353199')))
('5589', ('Comedy', ('104882', '1.0', '1036980709')))
('5589', ('Comedy', ('105631', '4.0', '1039624024')))
('5589', ('Comedy', ('105700', '3.0', '1070895913')))
('5589', ('Comedy', ('105738', '3.0', '1044558522')))
('5589', ('Comedy', ('106023', '3.5', '1057518281')))
('5589', ('Comedy', ('107720', '3.0', '1031344774')))
('5589', ('Comedy', ('109016', '3.0', '1176006243')))
('5589', ('Comedy', ('109414', '3.0', '1250907280')))
('5589', ('Comedy', ('109819', '2.0', '1049694579')))
('5589', ('Comedy', ('110992', '4.0', '1082950690')))
('5589', ('Comedy', ('111050', '3.0', '1132811066')))
('5589', ('Comedy', ('111627', '3.5', '1172276693')))
('5589', ('Comedy', ('111892', '1.0', '1031621663')))
('5589', ('Comedy', ('112200', '3.5', '1136784499')))
('5589', ('Comedy', ('112459', '3.0', '1036616058')))
('5589', ('Comedy', ('113565', '4.0', '1439767157')))
('5589', ('Comedy', ('113644', '3.0', '1033513792')))
('5589', ('Comedy', ('114468', '3.0', '1039202906')))
('5589', ('Comedy', ('114972', '2.0', '1499203786')))
('5589', ('Comedy', ('115584', '4.0', '1152934948')))
('5589', ('Comedy', ('117140', '4.0', '1036156435')))
('5589', ('Comedy', ('117586', '2.5', '1145740633')))
('5589', ('Comedy', ('121735', '3.5', '1076386586')))
('5589', ('Comedy', ('122297', '3.0', '1071189879')))
('5589', ('Comedy', ('122347', '3.0', '1346856179')))
('5589', ('Comedy', ('122780', '4.0', '1031196129')))
('5589', ('Comedy', ('123364', '1.5', '1060533393')))
('5589', ('Comedy', ('125091', '3.0', '1033692436')))
('5589', ('Comedy', ('125356', '3.5', '1076819366')))
('5589', ('Comedy', ('156576', '5.0', '1032036405')))
('5589', ('Comedy', ('157093', '4.0', '1117521929')))
('5589', ('Comedy', ('157329', '3.0', '1136540290')))
('5589', ('Comedy', ('157370', '1.5', '1111604202')))
('5589', ('Comedy', ('161297', '2.5', '1074954095')))
('5589', ('Comedy', ('162158', '3.0', '1109628300')))
('5589', ('Comedy', ('163280', '5.0', '1394682908')))
('5589', ('Comedy', ('163835', '4.0', '1247880809')))
('5589', ('Comedy', ('164060', '4.0', '1241495859')))
('5589', ('Comedy', ('165164', '2.0', '1117601990')))
('5589', ('Comedy', ('166928', '3.0', '1295893263')))
('5589', ('Comedy', ('171496', '3.5', '1090353428')))
('5589', ('Comedy', ('172005', '3.0', '1149258551')))
('5589', ('Comedy', ('172224', '4.0', '1033086952')))
('5589', ('Comedy', ('172359', '2.5', '1240190900')))
('5589', ('Comedy', ('172480', '4.0', '1031099994')))
('5589', ('Comedy', ('172644', '4.0', '1033349003')))
('5589', ('Comedy', ('172878', '0.5', '1111719110')))
('5589', ('Comedy', ('173768', '3.0', '1124929509')))
('5589', ('Comedy', ('173796', '3.0', '1045859572')))
('5589', ('Comedy', ('174159', '3.0', '1061024813')))
('5589', ('Comedy', ('174418', '3.0', '1034977621')))
('5589', ('Comedy', ('175202', '3.5', '1313836528')))
('5589', ('Comedy', ('176190', '2.0', '1051229274')))
('5589', ('Comedy', ('176443', '3.5', '1346643955')))
('5589', ('Comedy', ('179137', '4.0', '1034001757')))
('5589', ('Comedy', ('205647', '3.0', '1050898606')))
('5589', ('Comedy', ('206345', '1.5', '1275964883')))
('5589', ('Comedy', ('206426', '3.0', '1032885684')))
('5589', ('Comedy', ('206606', '3.5', '1251859767')))
('5589', ('Comedy', ('208692', '4.0', '1073873081')))
('5589', ('Comedy', ('208731', '3.5', '1456765861')))
('5589', ('Comedy', ('209987', '4.0', '1043021334')))
('5589', ('Comedy', ('210476', '3.5', '1369196382')))
('5589', ('Comedy', ('210915', '3.0', '1356340714')))
('5589', ('Comedy', ('211020', '4.0', '1042306039')))
('5589', ('Comedy', ('212608', '5.0', '1033272496')))
('5589', ('Comedy', ('212863', '3.0', '1032046757')))
('5589', ('Comedy', ('213059', '3.0', '1033159184')))
('5589', ('Comedy', ('213159', '4.0', '1054826809')))
('5589', ('Comedy', ('213286', '2.5', '1140925515')))
('5589', ('Comedy', ('214649', '3.0', '1032917986')))
('5589', ('Comedy', ('216949', '2.0', '1034272558')))
('5589', ('Comedy', ('217037', '3.0', '1034539670')))
('5589', ('Comedy', ('218080', '3.0', '1042052847')))
('5589', ('Comedy', ('218122', '3.0', '1043194560')))
('5589', ('Comedy', ('218706', '3.0', '1070337976')))
('5589', ('Comedy', ('219080', '2.0', '1075037497')))
('5589', ('Comedy', ('221511', '1.5', '1056231404')))
('5589', ('Comedy', ('222014', '2.5', '1060262699')))
('5589', ('Comedy', ('222609', '5.0', '1031456567')))
('5589', ('Comedy', ('222672', '2.0', '1039059231')))
('5589', ('Comedy', ('223692', '3.5', '1217064138')))
('5589', ('Comedy', ('223729', '3.0', '1039404789')))
('5589', ('Comedy', ('224019', '4.0', '1056937646')))
('5589', ('Comedy', ('224707', '4.0', '1031533922')))
('5589', ('Comedy', ('225172', '1.5', '1078795638')))
('5589', ('Comedy', ('225874', '3.5', '1149449867')))
('5589', ('Comedy', ('226112', '4.0', '1157551031')))
('5589', ('Comedy', ('226446', '3.0', '1043427844')))
('5589', ('Comedy', ('228689', '4.0', '1031870536')))
('5589', ('Comedy', ('229879', '3.0', '1031673283')))
('5589', ('Comedy', ('257993', '1.5', '1486251031')))
('5589', ('Comedy', ('258181', '3.5', '1112718917')))
('5589', ('Comedy', ('261690', '4.0', '1077758362')))
('5589', ('Comedy', ('262079', '4.0', '1032134286')))
('5589', ('Comedy', ('262770', '2.0', '1061015522')))
('5589', ('Comedy', ('263809', '3.5', '1461371365')))
('5589', ('Comedy', ('263907', '3.0', '1036226502')))
('5589', ('Comedy', ('263911', '3.0', '1112728581')))
('5589', ('Comedy', ('264862', '3.5', '1056915944')))
('5589', ('Comedy', ('264959', '3.5', '1165104262')))
('5589', ('Comedy', ('266061', '2.0', '1043785020')))
('5589', ('Comedy', ('266783', '2.5', '1065473809')))
('5589', ('Comedy', ('267772', '3.0', '1038335631')))
('5589', ('Comedy', ('268239', '4.0', '1488995560')))
('5589', ('Comedy', ('268791', '2.5', '1137372428')))
('5589', ('Comedy', ('269333', '4.5', '1361857379')))
